audit_date,ticket_id,technician,team,ticket_type,category,subcategory,priority,status,created_date,resolved_date,resolution_time_hours,documentation_score,categorization_result,routing_result,escalation_result,audit_result,opportunity_for_improvement,auditor_notes
2025-11-03,MOCK-10001,Tech A,Service Desk,Incident,Account Access,Password Reset,Medium,Closed,2025-11-03 08:10,2025-11-03 08:42,0.5,96,Correct,Correct,Not Needed,Pass,None,Complete verification and resolution notes.
2025-11-03,MOCK-10002,Tech B,Service Desk,Incident,MFA,Authenticator App,Medium,Closed,2025-11-03 08:20,2025-11-03 09:15,0.9,88,Correct,Correct,Not Needed,Pass,None,Clear steps and outcome documented.
2025-11-03,MOCK-10003,Tech C,Desktop Support,Request,Hardware,Laptop,Low,Closed,2025-11-03 08:35,2025-11-04 10:05,25.5,72,Correct,Correct,Not Needed,Not Enough Information,Missing Resolution Detail,Resolution did not explain final repair action.
2025-11-03,MOCK-10004,Tech D,EUC,Incident,Citrix / VDI,Session Launch,High,Closed,2025-11-03 09:00,2025-11-03 10:35,1.6,91,Correct,Correct,Needed,Pass,None,Escalation evidence and user impact were included.
2025-11-03,MOCK-10005,Tech E,Applications,Incident,EHR Access,Login Issue,High,Closed,2025-11-03 09:22,2025-11-03 11:10,1.8,69,Incorrect,Correct,Needed,Improper Categorization,Incorrect Subcategory,Ticket category did not match the reported access issue.
2025-11-03,MOCK-10006,Tech F,Network,Incident,Network Connectivity,Wired Connection,High,Closed,2025-11-03 09:41,2025-11-03 13:05,3.4,82,Correct,Routing Concern,Needed,Routing Issue,Routing Mismatch,Ticket should have been assigned to the network queue sooner.
2025-11-03,MOCK-10007,Tech A,Service Desk,Incident,Printer,Badge Printing,Medium,Closed,2025-11-03 10:04,2025-11-03 11:00,0.9,94,Correct,Correct,Not Needed,Pass,None,Issue and resolution were easy to follow.
2025-11-03,MOCK-10008,Tech B,Service Desk,Incident,Microsoft 365,Outlook,Medium,Closed,2025-11-03 10:18,2025-11-03 11:33,1.2,78,Correct,Correct,Not Needed,Not Enough Information,Incomplete Troubleshooting Notes,Ticket did not list steps attempted before resolution.
2025-11-03,MOCK-10009,Tech C,Desktop Support,Request,Software,Install Request,Low,Closed,2025-11-03 10:44,2025-11-04 08:30,21.8,90,Correct,Correct,Not Needed,Pass,None,Approval and installation outcome documented.
2025-11-03,MOCK-10010,Tech D,EUC,Incident,Citrix / VDI,Profile Issue,Medium,Closed,2025-11-03 11:05,2025-11-03 12:05,1.0,84,Correct,Correct,Not Needed,Pass,None,Good summary and resolution detail.
2025-11-04,MOCK-10011,Tech E,Applications,Incident,EHR Access,Role Access,High,Closed,2025-11-04 08:03,2025-11-04 09:50,1.8,74,Correct,Correct,Weak Evidence,Escalation / Priority Issue,Weak Escalation Evidence,Ticket needed clearer escalation reason and priority justification.
2025-11-04,MOCK-10012,Tech F,Security,Incident,MFA,Device Change,High,Closed,2025-11-04 08:11,2025-11-04 08:55,0.7,93,Correct,Correct,Not Needed,Pass,None,Identity verification and close notes were complete.
2025-11-04,MOCK-10013,Tech A,Service Desk,Incident,Account Access,Account Lockout,Medium,Closed,2025-11-04 08:28,2025-11-04 08:49,0.4,86,Correct,Correct,Not Needed,Pass,None,Short but sufficient notes.
2025-11-04,MOCK-10014,Tech B,Service Desk,Incident,Other,General Question,Low,Closed,2025-11-04 08:45,2025-11-04 09:10,0.4,60,Incorrect,Correct,Not Needed,Misinformation,Incorrect Guidance,Documented guidance did not align with the selected issue.
2025-11-04,MOCK-10015,Tech C,Desktop Support,Incident,Hardware,Monitor,Low,Closed,2025-11-04 09:06,2025-11-04 15:20,6.2,89,Correct,Correct,Not Needed,Pass,None,Replacement details were included.
2025-11-04,MOCK-10016,Tech D,EUC,Incident,Citrix / VDI,Connection Timeout,Medium,Closed,2025-11-04 09:20,2025-11-04 10:02,0.7,80,Correct,Correct,Not Needed,Pass,None,Resolution was documented with enough context.
2025-11-04,MOCK-10017,Tech E,Applications,Incident,Microsoft 365,Teams,Medium,Closed,2025-11-04 09:37,2025-11-04 10:48,1.2,76,Incorrect,Correct,Not Needed,Improper Categorization,Incorrect Category,Ticket was categorized under the wrong service area.
2025-11-04,MOCK-10018,Tech F,Network,Incident,Network Connectivity,Wireless,High,Closed,2025-11-04 09:55,2025-11-04 12:40,2.8,81,Correct,Routing Concern,Needed,Routing Issue,Delayed Queue Transfer,Network assignment occurred after repeated updates.
2025-11-04,MOCK-10019,Tech A,Service Desk,Incident,Printer,Network Printer,Medium,Closed,2025-11-04 10:12,2025-11-04 11:25,1.2,92,Correct,Correct,Not Needed,Pass,None,Clear summary and final user confirmation.
2025-11-04,MOCK-10020,Tech B,Service Desk,Incident,MFA,Token Reset,Medium,Closed,2025-11-04 10:25,2025-11-04 10:49,0.4,67,Correct,Correct,Not Needed,Not Enough Information,Missing Verification Detail,Verification method was not documented.
2025-11-05,MOCK-10021,Tech C,Desktop Support,Request,Hardware,Docking Station,Low,Closed,2025-11-05 08:05,2025-11-05 14:18,6.2,90,Correct,Correct,Not Needed,Pass,None,Good asset and resolution detail.
2025-11-05,MOCK-10022,Tech D,EUC,Incident,Citrix / VDI,Application Launch,High,Closed,2025-11-05 08:14,2025-11-05 09:45,1.5,73,Correct,Correct,Weak Evidence,Escalation / Priority Issue,Missing User Impact,Priority was high but impact details were incomplete.
2025-11-05,MOCK-10023,Tech E,Applications,Request,EHR Access,Access Request,Medium,Closed,2025-11-05 08:32,2025-11-05 12:00,3.5,94,Correct,Correct,Not Needed,Pass,None,Request path and closure reason were complete.
2025-11-05,MOCK-10024,Tech F,Security,Incident,Account Access,Access Review,High,Closed,2025-11-05 08:48,2025-11-05 11:15,2.5,85,Correct,Correct,Needed,Pass,None,Escalation and action trail were sufficient.
2025-11-05,MOCK-10025,Tech A,Service Desk,Incident,Microsoft 365,Email Access,Medium,Closed,2025-11-05 09:03,2025-11-05 09:52,0.8,91,Correct,Correct,Not Needed,Pass,None,Steps and outcome documented clearly.
2025-11-05,MOCK-10026,Tech B,Service Desk,Incident,Printer,Label Printer,Medium,Closed,2025-11-05 09:19,2025-11-05 10:04,0.8,64,Incorrect,Correct,Not Needed,Improper Categorization,Incorrect Subcategory,Subcategory did not identify printer type or issue.
2025-11-05,MOCK-10027,Tech C,Desktop Support,Incident,Software,Application Error,Medium,Closed,2025-11-05 09:36,2025-11-05 13:22,3.8,83,Correct,Routing Concern,Not Needed,Routing Issue,Queue Ownership Unclear,Ticket spent time in an unrelated queue.
2025-11-05,MOCK-10028,Tech D,EUC,Incident,Citrix / VDI,Performance,Medium,Closed,2025-11-05 09:51,2025-11-05 10:55,1.1,88,Correct,Correct,Not Needed,Pass,None,Performance troubleshooting was summarized.
2025-11-05,MOCK-10029,Tech E,Applications,Incident,EHR Access,Module Error,High,Closed,2025-11-05 10:05,2025-11-05 12:50,2.8,70,Correct,Correct,Weak Evidence,Not Enough Information,Incomplete Resolution Detail,Close note lacked the final application outcome.
2025-11-05,MOCK-10030,Tech F,Network,Incident,Network Connectivity,Vpn,High,Closed,2025-11-05 10:22,2025-11-05 11:40,1.3,89,Correct,Correct,Needed,Pass,None,Escalation evidence and result were documented.
2025-11-06,MOCK-10031,Tech A,Service Desk,Incident,Account Access,Password Reset,Medium,Closed,2025-11-06 08:02,2025-11-06 08:20,0.3,95,Correct,Correct,Not Needed,Pass,None,Complete and concise documentation.
2025-11-06,MOCK-10032,Tech B,Service Desk,Incident,MFA,Authenticator App,Medium,Closed,2025-11-06 08:13,2025-11-06 08:41,0.5,58,Correct,Correct,Not Needed,Call Dropped,Missing Follow Up,Ticket did not explain whether user was reached again.
2025-11-06,MOCK-10033,Tech C,Desktop Support,Request,Hardware,Keyboard,Low,Closed,2025-11-06 08:25,2025-11-06 11:12,2.8,87,Correct,Correct,Not Needed,Pass,None,Peripheral replacement was documented.
2025-11-06,MOCK-10034,Tech D,EUC,Incident,Citrix / VDI,Session Launch,High,Closed,2025-11-06 08:46,2025-11-06 09:55,1.2,82,Correct,Correct,Needed,Pass,None,Good user impact and escalation detail.
2025-11-06,MOCK-10035,Tech E,Applications,Incident,Microsoft 365,OneDrive,Medium,Closed,2025-11-06 09:01,2025-11-06 10:30,1.5,77,Incorrect,Correct,Not Needed,Improper Categorization,Incorrect Service,Selected service did not match the issue type.
2025-11-06,MOCK-10036,Tech F,Network,Incident,Network Connectivity,Wireless,High,Closed,2025-11-06 09:15,2025-11-06 12:35,3.3,79,Correct,Routing Concern,Needed,Routing Issue,Delayed Queue Transfer,Ticket routing delay affected handoff clarity.
2025-11-06,MOCK-10037,Tech A,Service Desk,Incident,Printer,Network Printer,Medium,Closed,2025-11-06 09:29,2025-11-06 10:06,0.6,90,Correct,Correct,Not Needed,Pass,None,Resolution and user confirmation were present.
